time,cpu
1530208472,17
1530210257,14
1530212016,14
1530213917,13
1530215687,17
1530217452,16
1530219297,18
1530221228,15
1530222869,13
1530224639,14
1530226475,13
1530228269,15
1530230098,15
1530231888,17
1530233672,18
1530235498,22
1530237267,19
1530239099,19
1530240881,19
1530242630,14
1530244408,14
1530246208,18
1530248027,15
1530249841,16
1530251660,13
1530253517,16
1530255240,15
1530257081,20
1530258916,17
1530260810,16
1530262528,13
1530264295,21
1530266078,25
1530267917,20
1530269801,17
1530271510,14
1530273247,14
1530275211,13
1530277006,13
1530279103,14
1530280536,15
1530282268,18
1530284115,16
1530285882,20
1530287893,15
1530289904,15
1530291250,13
1530293074,14
1530294840,15
1530296678,17
1530298491,12
1530300256,13
1530302051,12
1530303846,11
1530305637,12
1530307419,16
1530309268,13
1530311032,15
1530314611,13
1530316411,14
1530318343,13
1530320033,13
1530321828,14
1530323760,11
1530325513,11
1530327270,13
1530329020,14
1530330901,16
1530332624,14
1530334424,14
1530336194,14
1530338044,12
1530339884,13
1530341616,13
1530343459,16
1530345261,16
1530347099,12
1530348874,14
1530350745,18
1530352430,13
1530354248,16
1530356059,15
1530357872,13
1530359664,15
1530361476,13
1530363305,14
1530365052,13
1530366837,15
1530368626,17
1530370418,14
1530372207,14
1530374075,13
1530375859,12
1530377607,14
1530379420,13
1530381259,14
1530383291,14
1530384858,14
1530386652,18
1530388432,16
1530390328,17
1530393861,14
1530395678,12
1530397434,15
1530399226,13
1530401015,14
1530402835,14
1530404665,13
1530406423,14
1530408229,15
1530410023,15
1530411848,13
1530413628,13
1530415419,13
1530417253,14
1530419027,17
1530420836,13
1530422598,14
1530424459,13
1530426243,12
1530428017,12
1530429852,10
1530435230,8
1530436990,7
1530438834,7
1530440603,6
1530444249,5
1530446050,5
1530447824,4
